id,name,acronym,ccf equivalent
1083,Epithalamus,Thal-EPI,EPI
206,Lateral habenular nucleus,LHb,LH
207,Medial habenular nucleus,MHb,MH
81,Nucleus of the stria medullaris,SMn,
43,Pineal gland,PG,
1084,Dorsal thalamus,Thal-D,
1085,Anterior nuclei of the dorsal thalamus,ANT,
213,Anterodorsal thalamic nucleus,AD,AD
1086,Anteroventral thalamic nucleus,AV,AV
214,"Anteroventral thalamic nucleus, dorsomedial part",AV-dm,
215,"Anteroventral thalamic nucleus, ventrolateral part",AV-vl,
254,Anteromedial thalamic nucleus,AM,AM
255,Interanteromedial thalamic nucleus,IAM,IAM
242,Paraventricular thalamic nuclei (anterior and posterior),PV,PVT
260,Intermediodorsal thalamic nucleus,IMD,IMD
211,Parataenial thalamic nucleus,PT,PT
278,Subparafascicular nucleus,SPF,SPF
208,Posterior intralaminar nucleus,PIL,PIL
1088,Ventral midline group of the dorsal thalamus,V-MID,
216,Rhomboid thalamic nucleus,Rh,RH
219,Reuniens thalamic nucleus,Re,RE
268,Retroreuniens thalamic nucleus,RRe,
218,Xiphoid thalamic nucleus,Xi,Xi
1089,Mediodorsal nucleus of the dorsal thalamus,MD,MD
232,"Mediodorsal thalamic nucleus, lateral part",MD-l,
233,"Mediodorsal thalamic nucleus, central part",MD-c,
240,"Mediodorsal thalamic nucleus, medial part",MD-m,
1090,Ventral nuclei of the dorsal thalamus,VENT,
293,Ventral anterior thalamic nucleus,VA,
221,Ventromedial thalamic nucleus,VM,
231,Ventrolateral thalamic nucleus,VL,
223,Angular thalamic nucleus,Ang,
1091,Ventral posterior thalamic nucleus,VPN,
227,Ventral posteromedial thalamic nucleus,VPM,VPM
294,Ventral posterolateral thalamic nucleus,VPL,VPL
266,"Ventral posterior nucleus of the thalamus, parvicellular part",VP-pc,
222,Submedius thalamic nucleus,SMT,
1092,Intralaminar nuclei of the dorsal thalamus,ILM,
246,Paracentral thalamic nucleus,PCN,
247,Central medial thalamic nucleus,CM,CM
248,Central lateral thalamic nucleus,CL,CL
267,Parafascicular thalamic nucleus,PF,
282,Ethmoid-Limitans nucleus,Eth,
1093,Posterior complex of the dorsal thalamus,PoC,
230,Posterior thalamic nucleus,Po,PO
210,"Posterior thalamic nuclear group, triangular part",Po-t,
1094,Lateral posterior (pulvinar) complex of the dorsal thalamus,LP,LP
285,"Lateral posterior thalamic nucleus, mediorostral part",LP-mr,
286,"Lateral posterior thalamic nucleus, mediocaudal part",LP-mc,
283,"Lateral posterior thalamic nucleus, lateral part",LP-l,
1095,Laterodorsal thalamic nuclei of the dorsal thalamus,LD,LD
228,"Laterodorsal thalamic nucleus, dorsomedial part",LD-dm,
229,"Laterodorsal thalamic nucleus, ventrolateral part",LD-vl,
205,Dorsal lateral geniculate nucleus,DLG,LGd
1032,Medial geniculate complex of the dorsal thalamus,MG,MG
298,"Medial geniculate body, ventral division",MG-v,
295,"Medial geniculate body, dorsal division",MG-d,
150,"Medial geniculate body, marginal zone",MG-mz,
297,"Medial geniculate body, medial division",MG-m,
299,"Medial geniculate body, suprageniculate nucleus",MG-sg,
1034,Hypothalamus,HY,HY
48,"Hypothalamic region, unspecified",HTh-u,
1096,Pretectum,PreT,
94,Pretectal region,PRT,
163,Nucleus sagulum,Sag,
1097,Mesencephalon,Mes,
1035,Midbrain,MB,MB
1036,Tectum,Tc,
1037,Inferior colliculus,IC,IC
142,"Inferior colliculus, dorsal cortex",DCIC,
143,"Inferior colliculus, central nucleus",CNIC,
145,"Inferior colliculus, external cortex",ECIC,
1038,Superior colliculus,Su,
50,Superficial gray layer of the superior colliculus,SuG,SCs
55,Deeper layers of the superior colliculus,SuD,SCm
1039,Tegmentum,Tg,
1098,Substantia nigra,SN,
187,"Substantia nigra, reticular part",SN-r,SNr
188,"Substantia nigra, compact part",SN-c,SNc
189,"Substantia nigra, lateral part",SN-l,
196,Ventral tegmental area,VTA,VTA
201,Peripeduncular nucleus,PP,
71,Interpeduncular nucleus,IP,
51,Periaqueductal gray,PAG,PAG
47,"Brainstem, unspecified",BS-u,HB
1099,Rhombencephalon,Rho,
1100,Metencephalon,Met,
58,Pontine nuclei,Pn,P
1047,Cerebellum,Cb,CB
4,Molecular cell layer of the cerebellum,Cb-m,
5,"Cerebellum, unspecified",Cb-u,
1101,Myelencephalon,Myel,
1043,"Cochlear nucleus, ventral part",VCN,VCO
158,"Ventral cochlear nucleus, anterior part",AVCN,
159,"Ventral cochlear nucleus, posterior part",PVCN,
160,"Ventral cochlear nucleus, cap area",Cap,
123,"Ventral cochlear nucleus, granule cell layer",GCL,
1044,"Cochlear nucleus, dorsal part",DCN,DCO
126,"Dorsal cochlear nucleus, molecular layer",DCNM,
127,"Dorsal cochlear nucleus, fusiform and granule layer",DCNFG,
128,"Dorsal cochlear nucleus, deep core",DCND,
75,Spinal trigeminal nucleus,Sp5n,
56,Periventricular gray,PVG,
1045,Superior olivary complex,SO,
131,Nucleus of the trapezoid body,NTB,
132,Superior paraolivary nucleus,SPN,
133,Medial superior olive,MSO,
134,Lateral superior olive,LSO,
135,Superior periolivary region,SPR,
136,Ventral periolivary nuclei,VPO,
1046,Nuclei of the lateral lemniscus,NLL,NLL
137,"Lateral lemniscus, ventral nucleus",VLL,
138,"Lateral lemniscus, intermediate nucleus",ILL,
139,"Lateral lemniscus, dorsal nucleus",DLL,
74,Inferior olive,IO,IO
1048,Ventricular system,V,#808080
33,"ventricular system, unspecified",V-u,#808080
125,4th ventricle,4V,#808080
70,central canal,CC,#808080
45,spinal cord,SpC,#000000
1049,Inner ear,IE,#000000
119,vestibular apparatus,VeA,#000000
120,cochlea,Co,#000000
121,cochlear nerve,8cn,#000000
122,vestibular nerve,8vn,#000000
162,spiral ganglion,SpG,#000000
